Date,Open,High,Low,Close
3-April-1984,,,,61.33,
4-April-1984,,,,61.24,
5-April-1984,,,,61.06,
6-April-1984,,,,60.62,
9-April-1984,,,,60.69,
11-April-1984,,,,60.55,
12-April-1984,,,,60.31,
17-April-1984,,,,60.00,
18-April-1984,,,,59.73,
19-April-1984,,,,59.97,
23-April-1984,,,,59.66,
24-April-1984,,,,59.37,
25-April-1984,,,,59.10,
26-April-1984,,,,59.33,
2-May-1984,,,,59.42,
7-May-1984,,,,58.97,
8-May-1984,,,,58.81,
9-May-1984,,,,58.83,
10-May-1984,,,,58.88,
11-May-1984,,,,58.70,
16-May-1984,,,,59.12,
17-May-1984,,,,58.98,
18-May-1984,,,,58.76,
21-May-1984,,,,58.60,
22-May-1984,,,,58.95,
23-May-1984,,,,58.84,
24-May-1984,,,,58.95,
25-May-1984,,,,59.20,
29-May-1984,,,,59.32,
30-May-1984,,,,59.73,
31-May-1984,,,,59.64,
1-June-1984,,,,59.91,
4-June-1984,,,,60.01,
5-June-1984,,,,59.91,
6-June-1984,,,,59.92,
7-June-1984,,,,60.15,
8-June-1984,,,,60.20,
12-June-1984,,,,60.12,
13-June-1984,,,,60.18,
14-June-1984,,,,60.24,
15-June-1984,,,,60.29,
18-June-1984,,,,60.47,
19-June-1984,,,,60.49,
20-June-1984,,,,60.63,
21-June-1984,,,,60.62,
22-June-1984,,,,61.33,
26-June-1984,,,,61.07,
27-June-1984,,,,61.73,
28-June-1984,,,,61.79,
29-June-1984,,,,62.09,
4-July-1984,,,,63.01,
5-July-1984,,,,63.68,
6-July-1984,,,,63.53,
10-July-1984,,,,64.07,
11-July-1984,,,,64.07,
12-July-1984,,,,64.10,
13-July-1984,,,,64.30,
16-July-1984,,,,64.64,
17-July-1984,,,,64.88,
18-July-1984,,,,64.55,
19-July-1984,,,,64.61,
20-July-1984,,,,64.79,
24-July-1984,,,,64.78,
25-July-1984,,,,64.61,
26-July-1984,,,,64.28,
27-July-1984,,,,64.10,
30-July-1984,,,,64.08,
31-July-1984,,,,63.72,
1-August-1984,,,,63.42,
2-August-1984,,,,63.17,
7-August-1984,,,,63.25,
8-August-1984,,,,63.35,
9-August-1984,,,,63.42,
10-August-1984,,,,63.05,
13-August-1984,,,,62.94,
14-August-1984,,,,62.98,
16-August-1984,,,,62.50,
17-August-1984,,,,62.78,
21-August-1984,,,,62.89,
22-August-1984,,,,62.63,
23-August-1984,,,,61.99,
24-August-1984,,,,62.33,
28-August-1984,,,,62.18,
31-August-1984,,,,62.29,
4-September-1984,,,,62.76,
5-September-1984,,,,62.84,
6-September-1984,,,,62.88,
10-September-1984,,,,62.63,
11-September-1984,,,,62.72,
12-September-1984,,,,62.51,
13-September-1984,,,,62.84,
14-September-1984,,,,62.84,
18-September-1984,,,,63.30,
19-September-1984,,,,63.82,
20-September-1984,,,,64.00,
21-September-1984,,,,64.17,
24-September-1984,,,,64.54,
25-September-1984,,,,64.46,
26-September-1984,,,,64.57,
27-September-1984,,,,64.73,
28-September-1984,,,,65.25,
3-October-1984,,,,65.95,
5-October-1984,,,,66.40,
8-October-1984,,,,66.60,
9-October-1984,,,,66.75,
10-October-1984,,,,66.94,
11-October-1984,,,,67.60,
12-October-1984,,,,67.63,
15-October-1984,,,,67.91,
16-October-1984,,,,67.83,
17-October-1984,,,,67.83,
18-October-1984,,,,67.31,
19-October-1984,,,,67.15,
22-October-1984,,,,66.61,
24-October-1984,,,,66.42,
26-October-1984,,,,66.60,
29-October-1984,,,,66.60,
30-October-1984,,,,66.12,
5-November-1984,,,,64.72,
6-November-1984,,,,64.40,
7-November-1984,,,,65.24,
9-November-1984,,,,65.24,
13-November-1984,,,,66.09,
14-November-1984,,,,65.84,
15-November-1984,,,,65.77,
16-November-1984,,,,65.41,
19-November-1984,,,,65.18,
20-November-1984,,,,65.26,
21-November-1984,,,,65.33,
23-November-1984,,,,65.46,
28-November-1984,,,,65.07,
29-November-1984,,,,65.18,
30-November-1984,,,,65.45,
3-December-1984,,,,65.24,
4-December-1984,,,,65.30,
5-December-1984,,,,65.35,
7-December-1984,,,,65.10,
11-December-1984,,,,65.45,
12-December-1984,,,,65.71,
13-December-1984,,,,66.18,
14-December-1984,,,,67.13,
17-December-1984,,,,67.34,
19-December-1984,,,,67.45,
20-December-1984,,,,67.86,
21-December-1984,,,,68.23,
2-January-1985,,,,73.13,
3-January-1985,,,,70.28,
4-January-1985,,,,70.83,
8-January-1985,,,,71.66,
9-January-1985,,,,72.27,
10-January-1985,,,,71.84,
11-January-1985,,,,71.39,
14-January-1985,,,,71.72,
15-January-1985,,,,71.49,
16-January-1985,,,,71.73,
17-January-1985,,,,72.13,
18-January-1985,,,,72.81,
22-January-1985,,,,73.53,
23-January-1985,,,,73.82,
24-January-1985,,,,73.49,
25-January-1985,,,,72.98,
28-January-1985,,,,72.63,
29-January-1985,,,,73.00,
30-January-1985,,,,73.34,
31-January-1985,,,,73.85,
1-February-1985,,,,74.59,
5-February-1985,,,,76.28,
6-February-1985,,,,75.99,
7-February-1985,,,,76.10,
8-February-1985,,,,75.70,
11-February-1985,,,,76.04,
12-February-1985,,,,75.89,
13-February-1985,,,,76.11,
14-February-1985,,,,75.86,
15-February-1985,,,,76.82,
19-February-1985,,,,78.10,
20-February-1985,,,,77.78,
21-February-1985,,,,78.49,
22-February-1985,,,,78.00,
25-February-1985,,,,77.59,
26-February-1985,,,,77.33,
27-February-1985,,,,77.12,
28-February-1985,,,,77.49,
1-March-1985,,,,77.63,
5-March-1985,,,,77.79,
6-March-1985,,,,77.64,
8-March-1985,,,,78.20,
11-March-1985,,,,79.40,
12-March-1985,,,,79.48,
13-March-1985,,,,80.21,
14-March-1985,,,,80.16,
15-March-1985,,,,79.27,
18-March-1985,,,,80.88,
19-March-1985,,,,82.52,
20-March-1985,,,,81.94,
21-March-1985,,,,83.21,
26-March-1985,,,,88.61,
27-March-1985,,,,88.06,
28-March-1985,,,,88.68,
1-April-1985,,,,88.42,
2-April-1985,,,,89.29,
4-April-1985,,,,90.14,
8-April-1985,,,,89.58,
9-April-1985,,,,88.66,
11-April-1985,,,,88.02,
12-April-1985,,,,88.22,
15-April-1985,,,,89.67,
16-April-1985,,,,90.32,
17-April-1985,,,,92.21,
18-April-1985,,,,90.74,
19-April-1985,,,,91.19,
23-April-1985,,,,92.17,
24-April-1985,,,,92.18,
26-April-1985,,,,95.20,
2-May-1985,,,,98.23,
3-May-1985,,,,96.34,
6-May-1985,,,,94.87,
7-May-1985,,,,94.36,
8-May-1985,,,,94.64,
9-May-1985,,,,96.89,
10-May-1985,,,,97.82,
14-May-1985,,,,96.51,
15-May-1985,,,,96.23,
16-May-1985,,,,96.59,
17-May-1985,,,,97.28,
20-May-1985,,,,99.03,
21-May-1985,,,,98.68,
22-May-1985,,,,98.03,
23-May-1985,,,,97.76,
28-May-1985,,,,100.32,
29-May-1985,,,,100.91,
30-May-1985,,,,101.08,
31-May-1985,,,,101.75,
3-June-1985,,,,102.76,
4-June-1985,,,,103.36,
5-June-1985,,,,104.56,
6-June-1985,,,,106.34,
7-June-1985,,,,109.28,
11-June-1985,,,,112.86,
12-June-1985,,,,114.16,
13-June-1985,,,,115.27,
14-June-1985,,,,115.19,
18-June-1985,,,,117.10,
19-June-1985,,,,117.42,
21-June-1985,,,,121.90,
27-June-1985,,,,123.30,
