Date,Open,High,Low,Close
1-April-2003,,,,834.59,
2-April-2003,,,,851.31,
3-April-2003,,,,864.51,
4-April-2003,,,,885.24,
7-April-2003,,,,911.19,
8-April-2003,,,,910.65,
9-April-2003,,,,905.10,
10-April-2003,,,,881.01,
11-April-2003,,,,882.01,
15-April-2003,,,,885.51,
16-April-2003,,,,885.18,
17-April-2003,,,,880.40,
21-April-2003,,,,889.44,
22-April-2003,,,,891.33,
23-April-2003,,,,888.96,
24-April-2003,,,,886.71,
25-April-2003,,,,882.62,
28-April-2003,,,,890.33,
29-April-2003,,,,893.08,
30-April-2003,,,,893.27,
2-May-2003,,,,910.91,
5-May-2003,,,,933.90,
6-May-2003,,,,938.95,
7-May-2003,,,,936.14,
8-May-2003,,,,937.67,
9-May-2003,,,,943.76,
12-May-2003,,,,958.44,
13-May-2003,,,,974.69,
14-May-2003,,,,994.57,
15-May-2003,,,,1020.55,
16-May-2003,,,,1040.57,
19-May-2003,,,,1030.88,
20-May-2003,,,,1035.31,
21-May-2003,,,,1048.58,
22-May-2003,,,,1054.78,
23-May-2003,,,,1062.51,
26-May-2003,,,,1090.94,
27-May-2003,,,,1079.70,
28-May-2003,,,,1084.90,
29-May-2003,,,,1092.54,
30-May-2003,,,,1110.11,
2-June-2003,,,,1121.73,
3-June-2003,,,,1107.78,
4-June-2003,,,,1130.44,
5-June-2003,,,,1131.85,
6-June-2003,,,,1149.32,
9-June-2003,,,,1178.12,
10-June-2003,,,,1157.11,
11-June-2003,,,,1160.00,
12-June-2003,,,,1175.63,
13-June-2003,,,,1176.62,
16-June-2003,,,,1184.47,
17-June-2003,,,,1205.03,
18-June-2003,,,,1203.58,
19-June-2003,,,,1206.13,
20-June-2003,,,,1218.52,
23-June-2003,,,,1217.06,
24-June-2003,,,,1232.89,
25-June-2003,,,,1259.13,
26-June-2003,,,,1265.81,
27-June-2003,,,,1280.85,
30-June-2003,,,,1307.34,
1-July-2003,,,,1322.68,
2-July-2003,,,,1360.67,
3-July-2003,,,,1372.22,
4-July-2003,,,,1385.75,
7-July-2003,,,,1428.44,
8-July-2003,,,,1429.02,
9-July-2003,,,,1380.21,
10-July-2003,,,,1378.47,
11-July-2003,,,,1372.77,
14-July-2003,,,,1400.00,
15-July-2003,,,,1366.30,
16-July-2003,,,,1398.64,
17-July-2003,,,,1378.86,
18-July-2003,,,,1369.47,
21-July-2003,,,,1346.04,
22-July-2003,,,,1330.05,
23-July-2003,,,,1336.91,
24-July-2003,,,,1350.90,
25-July-2003,,,,1375.17,
28-July-2003,,,,1403.00,
29-July-2003,,,,1414.95,
30-July-2003,,,,1434.16,
31-July-2003,,,,1420.08,
1-August-2003,,,,1426.05,
4-August-2003,,,,1461.29,
5-August-2003,,,,1433.25,
6-August-2003,,,,1428.94,
7-August-2003,,,,1463.96,
8-August-2003,,,,1483.99,
11-August-2003,,,,1501.20,
12-August-2003,,,,1501.44,
13-August-2003,,,,1532.29,
14-August-2003,,,,1546.60,
18-August-2003,,,,1611.55,
19-August-2003,,,,1572.61,
20-August-2003,,,,1573.61,
21-August-2003,,,,1572.34,
22-August-2003,,,,1560.94,
25-August-2003,,,,1486.48,
26-August-2003,,,,1563.84,
27-August-2003,,,,1570.25,
28-August-2003,,,,1558.44,
29-August-2003,,,,1569.79,
1-September-2003,,,,1607.97,
2-September-2003,,,,1589.67,
3-September-2003,,,,1562.26,
4-September-2003,,,,1564.87,
5-September-2003,,,,1582.32,
8-September-2003,,,,1598.00,
9-September-2003,,,,1570.78,
10-September-2003,,,,1553.47,
11-September-2003,,,,1563.48,
12-September-2003,,,,1534.62,
15-September-2003,,,,1495.42,
16-September-2003,,,,1519.72,
17-September-2003,,,,1514.32,
18-September-2003,,,,1464.92,
19-September-2003,,,,1455.59,
22-September-2003,,,,1453.89,
23-September-2003,,,,1474.44,
24-September-2003,,,,1484.13,
25-September-2003,,,,1494.87,
26-September-2003,,,,1521.29,
29-September-2003,,,,1544.96,
30-September-2003,,,,1561.88,
1-October-2003,,,,1571.67,
3-October-2003,,,,1603.22,
6-October-2003,,,,1634.86,
7-October-2003,,,,1629.14,
8-October-2003,,,,1632.01,
9-October-2003,,,,1669.27,
10-October-2003,,,,1662.29,
13-October-2003,,,,1682.24,
14-October-2003,,,,1649.06,
15-October-2003,,,,1650.90,
16-October-2003,,,,1665.67,
17-October-2003,,,,1664.33,
20-October-2003,,,,1641.89,
21-October-2003,,,,1597.97,
22-October-2003,,,,1579.89,
23-October-2003,,,,1576.93,
24-October-2003,,,,1599.01,
27-October-2003,,,,1611.85,
28-October-2003,,,,1594.76,
29-October-2003,,,,1590.63,
30-October-2003,,,,1609.65,
31-October-2003,,,,1632.74,
3-November-2003,,,,1644.36,
4-November-2003,,,,1639.82,
5-November-2003,,,,1661.83,
6-November-2003,,,,1711.39,
7-November-2003,,,,1739.43,
10-November-2003,,,,1795.95,
11-November-2003,,,,1846.94,
12-November-2003,,,,1870.21,
13-November-2003,,,,1826.83,
14-November-2003,,,,1787.93,
17-November-2003,,,,1872.42,
18-November-2003,,,,1882.34,
19-November-2003,,,,1856.15,
20-November-2003,,,,1837.55,
21-November-2003,,,,1824.41,
24-November-2003,,,,1869.35,
25-November-2003,,,,1904.18,
27-November-2003,,,,1949.97,
28-November-2003,,,,1973.77,
1-December-2003,,,,2026.71,
2-December-2003,,,,2032.17,
3-December-2003,,,,2088.48,
4-December-2003,,,,2115.66,
5-December-2003,,,,2113.57,
8-December-2003,,,,2174.59,
9-December-2003,,,,2267.28,
10-December-2003,,,,2270.69,
11-December-2003,,,,2262.24,
12-December-2003,,,,2280.38,
15-December-2003,,,,2333.29,
16-December-2003,,,,2311.34,
17-December-2003,,,,2331.55,
18-December-2003,,,,2391.90,
19-December-2003,,,,2397.62,
22-December-2003,,,,2432.93,
23-December-2003,,,,2410.85,
24-December-2003,,,,2442.26,
26-December-2003,,,,2482.89,
29-December-2003,,,,2527.68,
30-December-2003,,,,2456.44,
31-December-2003,,,,2432.74,
1-January-2004,,,,2481.95,
2-January-2004,,,,2522.81,
5-January-2004,,,,2490.73,
6-January-2004,,,,2420.94,
7-January-2004,,,,2384.29,
8-January-2004,,,,2476.17,
9-January-2004,,,,2445.38,
12-January-2004,,,,2401.75,
13-January-2004,,,,2408.23,
14-January-2004,,,,2442.13,
15-January-2004,,,,2412.59,
16-January-2004,,,,2339.77,
19-January-2004,,,,2325.04,
20-January-2004,,,,2276.54,
21-January-2004,,,,2101.96,
