"Date","Open","High","Low","Close","Shares Traded","Turnover (Rs. Cr)"
"01-Mar-2013","     4483.00","     4515.75","     4475.30","     4499.75","      670128620","        11664.78"
"04-Mar-2013","     4491.35","     4491.35","     4450.60","     4470.15","      779974842","         9878.54"
"05-Mar-2013","     4483.65","     4542.50","     4483.65","     4539.00","      662436703","        10312.21"
"06-Mar-2013","     4557.10","     4581.10","     4555.25","     4570.45","      641064898","        10578.72"
"07-Mar-2013","     4560.80","     4608.35","     4560.80","     4601.55","      513784231","         9445.67"
"08-Mar-2013","     4613.00","     4664.35","     4613.00","     4660.65","      572770298","        10642.20"
"11-Mar-2013","     4661.00","     4682.70","     4653.85","     4661.25","      487508823","         9525.35"
"12-Mar-2013","     4662.65","     4669.85","     4622.50","     4636.90","      493675568","         9110.25"
"13-Mar-2013","     4620.40","     4620.40","     4579.45","     4585.00","      495844749","         8683.48"
"14-Mar-2013","     4582.15","     4631.45","     4540.40","     4625.75","      581968423","        11334.56"
"15-Mar-2013","     4629.15","     4655.85","     4594.55","     4598.20","      615887464","        11785.33"
"18-Mar-2013","     4566.95","     4583.20","     4556.00","     4572.65","      416772557","         8185.75"
"19-Mar-2013","     4586.10","     4587.45","     4492.20","     4500.85","      624037871","        12655.94"
"20-Mar-2013","     4497.75","     4500.15","     4438.00","     4446.05","      740546421","        11719.33"
"21-Mar-2013","     4452.65","     4489.30","     4407.45","     4413.50","      661077842","        11591.11"
"22-Mar-2013","     4413.95","     4431.75","     4386.30","     4404.50","      607737983","         9853.27"
"25-Mar-2013","     4436.10","     4453.65","     4382.50","     4390.30","      593864153","         9527.23"
"26-Mar-2013","     4379.00","     4400.55","     4376.85","     4394.60","      488800196","         8272.64"
"28-Mar-2013","     4397.85","     4444.15","     4370.15","     4438.35","      740669186","        13485.04"
"01-Apr-2013","     4449.35","     4471.20","     4441.40","     4465.60","      437234665","         6595.24"
"02-Apr-2013","     4460.90","     4511.20","     4459.35","     4508.80","      515164915","         8259.05"
"03-Apr-2013","     4504.00","     4515.30","     4442.05","     4457.20","      631450536","         9859.53"
"04-Apr-2013","     4433.20","     4433.40","     4373.25","     4378.65","      520184267","         8678.93"
"05-Apr-2013","     4373.60","     4386.50","     4353.35","     4366.65","      497281859","         9061.15"
"08-Apr-2013","     4365.65","     4381.30","     4358.50","     4361.15","      377216908","         6566.47"
"09-Apr-2013","     4379.15","     4404.00","     4319.15","     4323.40","      474927172","         8866.14"
"10-Apr-2013","     4349.10","     4370.45","     4305.00","     4366.45","      522235755","         9106.15"
"11-Apr-2013","     4393.65","     4397.80","     4353.70","     4388.05","      486208423","         9857.51"
"12-Apr-2013","     4343.65","     4362.85","     4335.60","     4352.75","      432386104","        10541.43"
"15-Apr-2013","     4338.55","     4395.70","     4335.65","     4376.05","      469185445","        10950.82"
"16-Apr-2013","     4368.65","     4463.60","     4368.65","     4457.55","      528401499","        10144.58"
"17-Apr-2013","     4471.20","     4496.25","     4449.90","     4461.75","      588553853","        12451.21"
"18-Apr-2013","     4457.70","     4532.65","     4457.70","     4526.80","      519364950","        11087.09"
