Date,Open,High,Low,Close
3-April-1979,,,,124.15,
4-April-1979,,,,122.85,
6-April-1979,,,,123.52,
7-April-1979,,,,124.18,
9-April-1979,,,,124.30,
11-April-1979,,,,125.01,
12-April-1979,,,,125.93,
14-April-1979,,,,128.22,
17-April-1979,,,,126.24,
18-April-1979,,,,125.98,
19-April-1979,,,,126.14,
20-April-1979,,,,126.67,
21-April-1979,,,,126.75,
23-April-1979,,,,124.81,
24-April-1979,,,,124.67,
25-April-1979,,,,125.36,
26-April-1979,,,,125.78,
27-April-1979,,,,127.02,
2-May-1979,,,,126.73,
3-May-1979,,,,125.84,
4-May-1979,,,,125.80,
5-May-1979,,,,124.93,
7-May-1979,,,,124.77,
8-May-1979,,,,124.64,
9-May-1979,,,,123.12,
10-May-1979,,,,122.23,
11-May-1979,,,,122.63,
15-May-1979,,,,123.93,
16-May-1979,,,,124.59,
17-May-1979,,,,124.10,
18-May-1979,,,,124.41,
19-May-1979,,,,125.27,
21-May-1979,,,,125.99,
22-May-1979,,,,126.58,
23-May-1979,,,,124.58,
24-May-1979,,,,125.26,
25-May-1979,,,,125.19,
29-May-1979,,,,124.29,
30-May-1979,,,,123.42,
31-May-1979,,,,124.10,
2-June-1979,,,,123.86,
4-June-1979,,,,124.49,
5-June-1979,,,,125.86,
6-June-1979,,,,127.02,
7-June-1979,,,,128.34,
8-June-1979,,,,128.40,
12-June-1979,,,,129.74,
13-June-1979,,,,129.19,
14-June-1979,,,,130.24,
15-June-1979,,,,130.22,
16-June-1979,,,,131.59,
18-June-1979,,,,128.82,
19-June-1979,,,,128.82,
20-June-1979,,,,126.98,
21-June-1979,,,,127.36,
22-June-1979,,,,127.46,
26-June-1979,,,,124.28,
27-June-1979,,,,124.53,
28-June-1979,,,,127.72,
29-June-1979,,,,125.41,
2-July-1979,,,,125.26,
3-July-1979,,,,124.71,
4-July-1979,,,,123.61,
5-July-1979,,,,124.29,
6-July-1979,,,,122.28,
10-July-1979,,,,121.50,
11-July-1979,,,,120.87,
12-July-1979,,,,118.31,
13-July-1979,,,,120.48,
14-July-1979,,,,120.24,
16-July-1979,,,,120.27,
17-July-1979,,,,120.08,
18-July-1979,,,,120.42,
19-July-1979,,,,119.84,
20-July-1979,,,,119.88,
24-July-1979,,,,119.59,
25-July-1979,,,,120.26,
26-July-1979,,,,119.61,
27-July-1979,,,,117.94,
28-July-1979,,,,118.18,
30-July-1979,,,,116.60,
31-July-1979,,,,115.86,
1-August-1979,,,,115.77,
2-August-1979,,,,114.14,
3-August-1979,,,,113.79,
8-August-1979,,,,117.14,
9-August-1979,,,,116.05,
10-August-1979,,,,116.16,
11-August-1979,,,,116.10,
13-August-1979,,,,115.56,
14-August-1979,,,,114.62,
16-August-1979,,,,115.32,
17-August-1979,,,,115.93,
21-August-1979,,,,116.96,
22-August-1979,,,,115.45,
23-August-1979,,,,114.88,
24-August-1979,,,,115.50,
28-August-1979,,,,115.38,
29-August-1979,,,,115.50,
30-August-1979,,,,116.16,
31-August-1979,,,,116.11,
4-September-1979,,,,117.27,
5-September-1979,,,,117.27,
6-September-1979,,,,117.38,
7-September-1979,,,,117.98,
8-September-1979,,,,118.76,
10-September-1979,,,,119.25,
11-September-1979,,,,119.77,
12-September-1979,,,,119.42,
13-September-1979,,,,118.46,
14-September-1979,,,,118.28,
18-September-1979,,,,119.24,
19-September-1979,,,,118.56,
20-September-1979,,,,117.80,
21-September-1979,,,,118.31,
22-September-1979,,,,118.45,
24-September-1979,,,,118.51,
25-September-1979,,,,119.31,
26-September-1979,,,,119.77,
27-September-1979,,,,120.05,
28-September-1979,,,,119.64,
3-October-1979,,,,119.74,
4-October-1979,,,,119.01,
5-October-1979,,,,119.45,
6-October-1979,,,,119.94,
10-October-1979,,,,120.74,
11-October-1979,,,,118.85,
12-October-1979,,,,119.58,
16-October-1979,,,,120.58,
17-October-1979,,,,121.35,
20-October-1979,,,,122.93,
23-October-1979,,,,122.35,
24-October-1979,,,,123.08,
25-October-1979,,,,123.52,
27-October-1979,,,,124.23,
30-October-1979,,,,124.30,
31-October-1979,,,,123.85,
2-November-1979,,,,123.27,
3-November-1979,,,,122.53,
5-November-1979,,,,123.10,
6-November-1979,,,,122.64,
7-November-1979,,,,122.52,
8-November-1979,,,,121.92,
9-November-1979,,,,121.48,
13-November-1979,,,,121.74,
14-November-1979,,,,120.20,
15-November-1979,,,,120.42,
16-November-1979,,,,118.42,
17-November-1979,,,,119.02,
19-November-1979,,,,118.33,
20-November-1979,,,,117.83,
21-November-1979,,,,117.36,
22-November-1979,,,,116.53,
23-November-1979,,,,115.51,
27-November-1979,,,,115.48,
28-November-1979,,,,115.05,
29-November-1979,,,,115.59,
1-December-1979,,,,115.86,
3-December-1979,,,,116.60,
4-December-1979,,,,116.44,
5-December-1979,,,,116.42,
6-December-1979,,,,116.88,
7-December-1979,,,,117.69,
11-December-1979,,,,118.17,
12-December-1979,,,,117.46,
14-December-1979,,,,113.28,
15-December-1979,,,,116.21,
17-December-1979,,,,117.67,
18-December-1979,,,,118.17,
19-December-1979,,,,117.72,
20-December-1979,,,,117.98,
21-December-1979,,,,118.31,
22-December-1979,,,,118.76,
2-January-1980,,,,118.16,
4-January-1980,,,,119.52,
8-January-1980,,,,122.14,
9-January-1980,,,,122.40,
10-January-1980,,,,122.08,
11-January-1980,,,,122.34,
12-January-1980,,,,119.61,
14-January-1980,,,,122.99,
15-January-1980,,,,123.54,
16-January-1980,,,,124.48,
17-January-1980,,,,125.96,
18-January-1980,,,,124.06,
22-January-1980,,,,124.46,
23-January-1980,,,,124.22,
24-January-1980,,,,123.54,
5-February-1980,,,,123.42,
13-February-1980,,,,123.92,
15-February-1980,,,,124.15,
18-February-1980,,,,125.15,
19-February-1980,,,,124.92,
20-February-1980,,,,126.27,
21-February-1980,,,,126.46,
22-February-1980,,,,125.15,
23-February-1980,,,,127.45,
25-February-1980,,,,127.10,
26-February-1980,,,,127.24,
27-February-1980,,,,126.74,
28-February-1980,,,,127.88,
29-February-1980,,,,128.21,
4-March-1980,,,,128.81,
5-March-1980,,,,129.66,
6-March-1980,,,,130.29,
7-March-1980,,,,130.03,
8-March-1980,,,,130.42,
10-March-1980,,,,129.55,
11-March-1980,,,,129.59,
12-March-1980,,,,128.76,
13-March-1980,,,,128.49,
14-March-1980,,,,128.74,
18-March-1980,,,,127.04,
19-March-1980,,,,128.17,
20-March-1980,,,,128.55,
21-March-1980,,,,129.13,
22-March-1980,,,,129.27,
25-March-1980,,,,128.82,
26-March-1980,,,,129.05,
27-March-1980,,,,128.66,
28-March-1980,,,,128.57,
1-April-1980,,,,128.50,
2-April-1980,,,,129.08,
3-April-1980,,,,129.02,
5-April-1980,,,,129.61,
7-April-1980,,,,130.12,
8-April-1980,,,,129.99,
9-April-1980,,,,129.80,
10-April-1980,,,,129.42,
11-April-1980,,,,128.85,
15-April-1980,,,,129.86,
16-April-1980,,,,129.14,
17-April-1980,,,,129.10,
18-April-1980,,,,129.27,
19-April-1980,,,,129.62,
21-April-1980,,,,129.35,
22-April-1980,,,,128.94,
23-April-1980,,,,129.13,
24-April-1980,,,,128.37,
25-April-1980,,,,127.25,
2-May-1980,,,,126.33,
3-May-1980,,,,125.54,
5-May-1980,,,,124.39,
6-May-1980,,,,124.83,
7-May-1980,,,,124.92,
8-May-1980,,,,124.77,
9-May-1980,,,,124.97,
13-May-1980,,,,125.93,
14-May-1980,,,,126.14,
15-May-1980,,,,126.09,
16-May-1980,,,,126.20,
17-May-1980,,,,126.01,
22-May-1980,,,,125.97,
3-June-1980,,,,127.90,
4-June-1980,,,,128.31,
6-June-1980,,,,122.55,
10-June-1980,,,,123.25,
11-June-1980,,,,123.20,
13-June-1980,,,,123.73,
14-June-1980,,,,124.37,
16-June-1980,,,,125.17,
17-June-1980,,,,125.19,
18-June-1980,,,,125.33,
19-June-1980,,,,122.12,
20-June-1980,,,,122.42,
26-June-1980,,,,122.52,
28-June-1980,,,,122.15,
1-July-1980,,,,121.53,
2-July-1980,,,,121.50,
3-July-1980,,,,122.66,
4-July-1980,,,,123.66,
8-July-1980,,,,124.90,
9-July-1980,,,,125.47,
10-July-1980,,,,125.65,
11-July-1980,,,,126.03,
12-July-1980,,,,126.46,
14-July-1980,,,,126.68,
15-July-1980,,,,126.50,
16-July-1980,,,,127.10,
17-July-1980,,,,126.33,
18-July-1980,,,,126.15,
22-July-1980,,,,127.45,
23-July-1980,,,,128.04,
24-July-1980,,,,129.16,
25-July-1980,,,,128.97,
26-July-1980,,,,129.62,
28-July-1980,,,,129.80,
29-July-1980,,,,129.05,
30-July-1980,,,,128.60,
5-August-1980,,,,135.52,
6-August-1980,,,,136.25,
7-August-1980,,,,133.74,
8-August-1980,,,,134.71,
9-August-1980,,,,134.90,
11-August-1980,,,,134.90,
12-August-1980,,,,134.93,
14-August-1980,,,,135.27,
16-August-1980,,,,135.47,
19-August-1980,,,,136.74,
20-August-1980,,,,137.56,
21-August-1980,,,,138.77,
22-August-1980,,,,140.01,
28-August-1980,,,,140.75,
6-September-1980,,,,140.92,
8-September-1980,,,,140.73,
11-September-1980,,,,141.00,
16-September-1980,,,,139.79,
20-September-1980,,,,137.51,
22-September-1980,,,,135.73,
24-September-1980,,,,134.04,
27-September-1980,,,,133.86,
30-September-1980,,,,134.41,
1-October-1980,,,,133.00,
3-October-1980,,,,134.33,
4-October-1980,,,,133.46,
6-October-1980,,,,131.94,
7-October-1980,,,,131.56,
8-October-1980,,,,131.47,
9-October-1980,,,,131.48,
10-October-1980,,,,130.75,
14-October-1980,,,,130.23,
16-October-1980,,,,129.61,
17-October-1980,,,,129.94,
18-October-1980,,,,129.45,
21-October-1980,,,,128.74,
22-October-1980,,,,129.67,
23-October-1980,,,,128.46,
24-October-1980,,,,128.99,
28-October-1980,,,,128.95,
29-October-1980,,,,127.68,
30-October-1980,,,,126.73,
31-October-1980,,,,130.92,
1-November-1980,,,,127.76,
3-November-1980,,,,129.51,
4-November-1980,,,,129.41,
7-November-1980,,,,130.68,
10-November-1980,,,,131.25,
11-November-1980,,,,128.20,
12-November-1980,,,,132.61,
13-November-1980,,,,133.03,
14-November-1980,,,,134.37,
18-November-1980,,,,137.86,
20-November-1980,,,,137.27,
21-November-1980,,,,136.55,
25-November-1980,,,,137.37,
26-November-1980,,,,137.10,
27-November-1980,,,,138.26,
28-November-1980,,,,140.14,
2-December-1980,,,,141.32,
3-December-1980,,,,142.72,
10-December-1980,,,,142.88,
11-December-1980,,,,145.00,
12-December-1980,,,,147.44,
16-December-1980,,,,147.62,
17-December-1980,,,,147.07,
18-December-1980,,,,145.84,
19-December-1980,,,,146.66,
20-December-1980,,,,148.97,
22-December-1980,,,,148.47,
23-December-1980,,,,148.25,
2-January-1981,,,,152.26,
3-January-1981,,,,151.10,
6-January-1981,,,,151.54,
7-January-1981,,,,151.72,
8-January-1981,,,,151.22,
9-January-1981,,,,151.35,
10-January-1981,,,,148.96,
12-January-1981,,,,148.62,
13-January-1981,,,,147.59,
14-January-1981,,,,148.07,
15-January-1981,,,,147.42,
27-January-1981,,,,148.33,
28-January-1981,,,,148.73,
29-January-1981,,,,146.63,
4-February-1981,,,,152.11,
5-February-1981,,,,151.75,
6-February-1981,,,,152.33,
7-February-1981,,,,153.11,
10-February-1981,,,,155.40,
11-February-1981,,,,155.29,
12-February-1981,,,,155.41,
13-February-1981,,,,151.34,
17-February-1981,,,,157.49,
18-February-1981,,,,158.64,
19-February-1981,,,,158.70,
20-February-1981,,,,158.77,
21-February-1981,,,,155.80,
23-February-1981,,,,159.34,
24-February-1981,,,,158.75,
25-February-1981,,,,157.68,
26-February-1981,,,,157.66,
28-February-1981,,,,160.16,
2-March-1981,,,,160.49,
3-March-1981,,,,163.40,
5-March-1981,,,,165.21,
7-March-1981,,,,164.23,
9-March-1981,,,,165.86,
10-March-1981,,,,166.77,
12-March-1981,,,,166.94,
17-March-1981,,,,167.16,
18-March-1981,,,,165.09,
19-March-1981,,,,164.39,
20-March-1981,,,,166.08,
23-March-1981,,,,167.57,
24-March-1981,,,,167.95,
25-March-1981,,,,167.79,
26-March-1981,,,,167.42,
27-March-1981,,,,169.49,
31-March-1981,,,,173.44,
1-April-1981,,,,173.79,
2-April-1981,,,,173.29,
3-April-1981,,,,173.49,
4-April-1981,,,,173.80,
6-April-1981,,,,174.60,
7-April-1981,,,,172.81,
8-April-1981,,,,173.57,
10-April-1981,,,,177.36,
14-April-1981,,,,180.59,
15-April-1981,,,,182.35,
16-April-1981,,,,182.44,
20-April-1981,,,,179.48,
21-April-1981,,,,180.89,
22-April-1981,,,,181.39,
24-April-1981,,,,185.68,
29-April-1981,,,,186.29,
4-May-1981,,,,178.52,
6-May-1981,,,,181.28,
7-May-1981,,,,181.40,
14-May-1981,,,,181.90,
15-May-1981,,,,181.93,
19-May-1981,,,,182.29,
20-May-1981,,,,181.47,
21-May-1981,,,,180.89,
26-May-1981,,,,176.94,
27-May-1981,,,,177.95,
28-May-1981,,,,177.06,
1-June-1981,,,,182.43,
2-June-1981,,,,181.65,
3-June-1981,,,,181.62,
4-June-1981,,,,181.84,
5-June-1981,,,,184.99,
9-June-1981,,,,188.37,
10-June-1981,,,,189.61,
11-June-1981,,,,189.64,
12-June-1981,,,,192.83,
15-June-1981,,,,186.76,
16-June-1981,,,,188.99,
17-June-1981,,,,190.56,
18-June-1981,,,,193.13,
19-June-1981,,,,199.10,
23-June-1981,,,,205.51,
24-June-1981,,,,208.96,
25-June-1981,,,,208.72,
26-June-1981,,,,211.64,
2-July-1981,,,,206.08,
17-July-1981,,,,197.10,
21-July-1981,,,,208.20,
22-July-1981,,,,213.16,
23-July-1981,,,,212.10,
24-July-1981,,,,206.16,
27-July-1981,,,,208.52,
