Date,Open,High,Low,Close
30-April-2013,,,,1825.25,
3-May-2013,,,,1839.69,
6-May-2013,,,,1857.80,
7-May-2013,,,,1868.62,
8-May-2013,,,,1869.93,
10-May-2013,,,,1870.06,
11-May-2013,,,,1877.20,
13-May-2013,,,,1851.40,
14-May-2013,,,,1855.25,
15-May-2013,,,,1879.13,
16-May-2013,,,,1886.75,
17-May-2013,,,,1891.10,
20-May-2013,,,,1884.57,
21-May-2013,,,,1880.39,
22-May-2013,,,,1878.37,
23-May-2013,,,,1853.51,
24-May-2013,,,,1849.80,
27-May-2013,,,,1879.60,
28-May-2013,,,,1891.77,
29-May-2013,,,,1896.42,
30-May-2013,,,,1893.00,
31-May-2013,,,,1878.55,
3-June-2013,,,,1870.00,
4-June-2013,,,,1869.30,
5-June-2013,,,,1873.04,
6-June-2013,,,,1865.52,
7-June-2013,,,,1863.44,
10-June-2013,,,,1863.44,
11-June-2013,,,,1844.77,
12-June-2013,,,,1832.71,
13-June-2013,,,,1811.78,
14-June-2013,,,,1833.32,
17-June-2013,,,,1846.03,
18-June-2013,,,,1844.22,
19-June-2013,,,,1846.39,
20-June-2013,,,,1811.74,
21-June-2013,,,,1819.16,
24-June-2013,,,,1791.75,
25-June-2013,,,,1787.85,
26-June-2013,,,,1792.09,
27-June-2013,,,,1827.49,
28-June-2013,,,,1857.77,
1-July-2013,,,,1865.89,
2-July-2013,,,,1863.26,
3-July-2013,,,,1845.51,
4-July-2013,,,,1865.00,
5-July-2013,,,,1870.47,
9-July-2013,,,,1877.79,
10-July-2013,,,,1875.88,
11-July-2013,,,,1898.67,
12-July-2013,,,,1931.79,
15-July-2013,,,,1942.85,
16-July-2013,,,,1942.88,
17-July-2013,,,,1965.88,
18-July-2013,,,,1984.63,
19-July-2013,,,,1997.14,
22-July-2013,,,,1992.59,
23-July-2013,,,,2001.33,
24-July-2013,,,,1997.21,
25-July-2013,,,,1976.55,
26-July-2013,,,,1968.07,
29-July-2013,,,,1955.21,
30-July-2013,,,,1933.64,
31-July-2013,,,,1940.97,
1-August-2013,,,,1931.41,
2-August-2013,,,,1930.10,
5-August-2013,,,,1928.05,
6-August-2013,,,,1896.24,
7-August-2013,,,,1884.42,
8-August-2013,,,,1896.44,
12-August-2013,,,,1920.03,
13-August-2013,,,,1942.30,
14-August-2013,,,,1952.65,
16-August-2013,,,,1900.56,
19-August-2013,,,,1875.10,
20-August-2013,,,,1858.01,
21-August-2013,,,,1828.23,
22-August-2013,,,,1868.23,
23-August-2013,,,,1884.98,
26-August-2013,,,,1898.37,
27-August-2013,,,,1869.21,
28-August-2013,,,,1874.42,
29-August-2013,,,,1900.46,
30-August-2013,,,,1928.33,
2-September-2013,,,,1944.63,
3-September-2013,,,,1909.55,
4-September-2013,,,,1943.94,
5-September-2013,,,,1939.93,
6-September-2013,,,,1952.63,
