Date,Open,High,Low,Close
16-September-2005,,,,1000.00,
19-September-2005,,,,1007.62,
20-September-2005,,,,1004.36,
21-September-2005,,,,978.91,
22-September-2005,,,,927.05,
23-September-2005,,,,934.00,
26-September-2005,,,,965.54,
27-September-2005,,,,972.56,
28-September-2005,,,,977.63,
29-September-2005,,,,971.20,
30-September-2005,,,,968.95,
3-October-2005,,,,983.09,
4-October-2005,,,,995.11,
5-October-2005,,,,987.95,
6-October-2005,,,,973.94,
7-October-2005,,,,970.25,
10-October-2005,,,,963.52,
11-October-2005,,,,960.45,
13-October-2005,,,,951.75,
14-October-2005,,,,930.11,
17-October-2005,,,,920.83,
18-October-2005,,,,916.93,
19-October-2005,,,,889.24,
20-October-2005,,,,871.91,
21-October-2005,,,,883.64,
24-October-2005,,,,880.31,
25-October-2005,,,,883.77,
26-October-2005,,,,882.18,
27-October-2005,,,,866.90,
28-October-2005,,,,851.92,
31-October-2005,,,,871.20,
1-November-2005,,,,882.60,
2-November-2005,,,,885.85,
7-November-2005,,,,902.53,
8-November-2005,,,,914.15,
9-November-2005,,,,913.13,
10-November-2005,,,,917.43,
11-November-2005,,,,932.56,
14-November-2005,,,,936.13,
16-November-2005,,,,943.90,
17-November-2005,,,,948.38,
18-November-2005,,,,950.92,
21-November-2005,,,,945.06,
22-November-2005,,,,938.77,
23-November-2005,,,,943.34,
24-November-2005,,,,950.89,
25-November-2005,,,,961.55,
28-November-2005,,,,979.57,
29-November-2005,,,,974.06,
30-November-2005,,,,968.47,
1-December-2005,,,,980.29,
2-December-2005,,,,986.82,
5-December-2005,,,,984.47,
6-December-2005,,,,983.80,
7-December-2005,,,,989.57,
8-December-2005,,,,995.49,
9-December-2005,,,,1005.19,
12-December-2005,,,,1008.10,
13-December-2005,,,,1014.46,
14-December-2005,,,,1014.31,
15-December-2005,,,,1002.44,
16-December-2005,,,,1009.38,
19-December-2005,,,,1019.05,
20-December-2005,,,,1016.36,
21-December-2005,,,,1016.57,
22-December-2005,,,,1018.93,
23-December-2005,,,,1009.71,
26-December-2005,,,,987.10,
27-December-2005,,,,1006.39,
28-December-2005,,,,1006.66,
29-December-2005,,,,1012.90,
30-December-2005,,,,1026.28,
2-January-2006,,,,1035.57,
3-January-2006,,,,1051.60,
4-January-2006,,,,1057.56,
5-January-2006,,,,1062.51,
6-January-2006,,,,1069.35,
9-January-2006,,,,1078.28,
10-January-2006,,,,1069.47,
12-January-2006,,,,1067.37,
13-January-2006,,,,1069.97,
16-January-2006,,,,1064.43,
17-January-2006,,,,1053.09,
18-January-2006,,,,1047.37,
19-January-2006,,,,1067.81,
20-January-2006,,,,1079.99,
23-January-2006,,,,1081.04,
24-January-2006,,,,1085.37,
25-January-2006,,,,1086.83,
27-January-2006,,,,1102.23,
30-January-2006,,,,1090.47,
31-January-2006,,,,1090.54,
1-February-2006,,,,1078.75,
2-February-2006,,,,1077.07,
3-February-2006,,,,1078.28,
6-February-2006,,,,1090.91,
7-February-2006,,,,1100.28,
8-February-2006,,,,1099.04,
10-February-2006,,,,1109.96,
13-February-2006,,,,1120.38,
14-February-2006,,,,1115.64,
15-February-2006,,,,1113.25,
16-February-2006,,,,1117.69,
17-February-2006,,,,1100.07,
20-February-2006,,,,1090.26,
